CustomerID,DateRaw,Time,TransactionID,ProductName,PriceUSD,Quantity,PaymentMethod,Category
164,22 July 2023,20:00:00,1,Beef,10.26,2,Cash,Meat
15,20 August 2023,08:00:00,7,Carrots,5.6,5,Debit Card,Produce
121,22 June 2023,00:00:00,10,Cornflakes,7.47,1,Debit Card,Cereal
91,30 June 2023,17:00:00,14,Milk,13.66,1,Cash,Dairy
148,28 August 2023,04:00:00,18,Chickpeas,10.43,1,Debit Card,Vegetarian
93,01 August 2023,19:00:00,20,Rice,19.8,1,Mobile Payment,Grains
121,29 June 2023,02:00:00,22,Apples,5.66,2,Credit Card,Produce
50,02 July 2023,09:00:00,23,Rice,1.01,2,Cash,Grains
142,01 July 2023,12:00:00,24,Tomatoes,11.92,3,Mobile Payment,Produce
128,28 July 2023,04:00:00,29,Apples,11.35,1,Credit Card,Produce
77,11 June 2023,13:00:00,30,Coffee,19.15,4,Debit Card,Beverages
154,01 July 2023,14:00:00,32,Coffee,9.59,4,Cash,Beverages
163,16 June 2023,07:00:00,33,Cornflakes,16.07,3,Debit Card,Cereal
138,09 August 2023,02:00:00,37,Eggs,1.43,1,Debit Card,Dairy
130,25 June 2023,05:00:00,42,Beef,5.83,2,Debit Card,Meat
155,27 August 2023,03:00:00,43,Cheese,13.02,3,Credit Card,Dairy
136,04 July 2023,20:00:00,44,Oatmeal,10.79,5,Mobile Payment,Cereal
30,12 July 2023,17:00:00,46,Chicken,15.37,1,Credit Card,Meat
70,11 July 2023,06:00:00,48,Beef,13.14,4,Credit Card,Meat
107,20 June 2023,11:00:00,50,Chicken,14.87,2,Mobile Payment,Meat
52,01 July 2023,08:00:00,52,Milk,8.51,1,Cash,Dairy
38,12 August 2023,12:00:00,53,Onions,18.14,1,Cash,Produce
77,16 June 2023,05:00:00,55,Bananas,19.52,5,Debit Card,Produce
75,09 August 2023,09:00:00,56,Rice,8.01,1,Credit Card,Grains
56,13 August 2023,08:00:00,57,Black Beans,4.78,3,Debit Card,Vegetarian
69,17 August 2023,05:00:00,58,Apples,19.32,4,Mobile Payment,Produce
59,28 August 2023,13:00:00,59,Chickpeas,0.73,4,Mobile Payment,Vegetarian
90,23 July 2023,12:00:00,62,Chicken,3.89,2,Cash,Meat
96,15 August 2023,07:00:00,66,Chickpeas,7.28,3,Mobile Payment,Vegetarian
142,20 August 2023,13:00:00,67,Bananas,10.33,1,Mobile Payment,Produce
172,20 August 2023,02:00:00,69,Pasta,12.42,1,Credit Card,Grains
111,05 July 2023,17:00:00,71,Oranges,8.04,5,Cash,Produce
65,21 August 2023,02:00:00,72,Apples,17.11,4,Credit Card,Produce
173,04 July 2023,10:00:00,73,Black Beans,3.58,4,Cash,Vegetarian
100,09 June 2023,21:00:00,74,Apples,17.84,1,Cash,Produce
157,26 August 2023,06:00:00,75,Oranges,14.71,2,Debit Card,Produce
15,12 June 2023,15:00:00,82,Apples,13.72,2,Debit Card,Produce
173,30 June 2023,12:00:00,83,Chickpeas,4.83,5,Debit Card,Vegetarian
114,05 July 2023,22:00:00,84,Yogurt,0.52,2,Debit Card,Dairy
1,05 July 2023,03:00:00,85,Milk,13.94,4,Credit Card,Dairy
33,01 June 2023,14:00:00,88,Apples,9.53,3,Credit Card,Produce
91,29 June 2023,01:00:00,89,Black Beans,17.13,1,Credit Card,Vegetarian
107,12 July 2023,06:00:00,90,Rice,5.71,3,Debit Card,Grains
169,15 June 2023,14:00:00,93,Cheese,0.9,5,Mobile Payment,Dairy
56,09 June 2023,13:00:00,100,Butter,15.45,5,Credit Card,Dairy
85,17 August 2023,19:00:00,101,Bread,16.24,2,Mobile Payment,Bakery
68,09 July 2023,01:00:00,102,Eggs,10.55,2,Mobile Payment,Dairy
122,04 June 2023,05:00:00,103,Beef,13.6,4,Debit Card,Meat
26,31 August 2023,01:00:00,105,Pasta,17.95,2,Cash,Grains
1,01 June 2023,01:00:00,111,Bread,6.14,3,Credit Card,Bakery
158,09 August 2023,13:00:00,112,Oranges,1.69,5,Debit Card,Produce
22,27 July 2023,02:00:00,113,Bread,3.23,5,Mobile Payment,Bakery
50,26 June 2023,08:00:00,114,Apples,2.7,2,Credit Card,Produce
32,17 August 2023,03:00:00,116,Coffee,14.92,3,Cash,Beverages
56,06 August 2023,09:00:00,117,Lettuce,6.66,1,Credit Card,Produce
155,20 June 2023,00:00:00,119,Butter,10.03,5,Credit Card,Dairy
82,10 July 2023,14:00:00,120,Bananas,0.65,5,Debit Card,Produce
15,19 August 2023,17:00:00,122,Oatmeal,8.39,3,Credit Card,Cereal
